Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Team Sports » Baseball » Major League Baseball (MLB),300x250,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",aol.com,OpenX,Smartphone,11062,78,6539,9391,2,1500.09932
Online Behavior>United States>Beauty and Fitness>Face and Body Care » Skin and Nail Care,300x50,10% Discount - Ends 6/1,"Los Angeles, California",apnews.com,BidSwitch,Smartphone,100800,185,14473,85424,10,7004.730483
US » Interest Propensities » Activities and Interests » Financial Aid,300x250,10% Discount - Ends 6/1,"Los Angeles, California",apnews.com,Google Ad Manager,Smartphone,12864,84,5549,11852,5,1905.889693
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Olympics » Summer Olympics,320x50,Sign up Today - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",att.yahoo.com,BidSwitch,Smartphone,10992,97,6677,10132,3,1675.987427
US » Demographic » Family » Female Head of Household,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",att.yahoo.com,Google Ad Manager,Smartphone,14984,63,9614,14086,3,1505.009635
Online Behavior>United States>Sports>Sports League » MLB,320x50,10% Discount - Ends 6/1,"New York City, New York",autotrader.com,Google Ad Manager,Smartphone,19093,50,9626,17815,10,6612.14569
Online Behavior>United States>Autos and Vehicles » Brands>Dodge,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",autotrader.com,BidSwitch,Smartphone,43057,122,23767,41484,7,5884.931394
US » Brand Propensities » Travel » Sandals Resorts Buyer Propensity,300x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",autotrader.com,Google Ad Manager,Smartphone,53561,147,37063,51480,14,2039.35506
Mobile - US » Shopping » Brand » Old Navy,300x250,Sign up Now - 10% Off,"Los Angeles, California",autotrader.com,PubMatic,Smartphone,67752,174,47126,65080,3,1557.01573
OnAudience » Intent » Animals & Pet,300x250,Subscribe Today - 10% Discount,"New York City, New York",a-z-animals.com,OpenX,Smartphone,75161,280,40385,70325,3,1506.461108
US » Multibuyer Behaviors » Paid with Credit Card,300x250,Subscribe Today - 10% Discount,"New York City, New York",baseball.fantasysports.yahoo.com,BidSwitch,Apple PC,12770,84,6224,11110,21,2087.509827
US » Response Performance » Direct Marketing Responders,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",baseball-reference.com,Xandr - Monetize SSP (AppNexus),Smartphone,117713,374,16357,100222,5,2505.403543
Online Behavior>United States>Games>Computer and Video Games,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",bbc.com,PubMatic,Apple PC,26558,111,15761,23532,14,6751.558981
Online Behavior>United States>Finance » Insurance>Home Insurance,300x250,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce, Florida",bbc.com,Google Ad Manager,Smartphone,53464,212,22151,49058,9,5741.098045
US » Reach » Sociodemographic » Dwelling Size » 1 Unit,300x50,10% Discount - Ends 6/1,"San Francisco, California",bbc.com,BidSwitch,Smartphone,13686,66,7928,11931,11,4660.560369
Online Behavior>United States>B2B » Occupation>MechanicalEngineer,320x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",bbc.com,Google Ad Manager,Smartphone,17752,98,5855,15753,5,2200.297094
US » Interest Propensities » Insurance » MassMutual,300x250,10% Discount - Ends 6/1,"New York City, New York",bbc.com,Google Ad Manager,Windows PC,32845,164,16163,30368,5,1910.436686
US » Premium Gender » Premium Gender » Males,320x50,Sign up Today - 10% Off,"Chicago, Illinois",behindthevoiceactors.com,Google Ad Manager,Smartphone,15322,55,6416,14049,5,1850.464205
US » Reach » Propensity Models » Hobbies and Interest » Food and Drinks » Eats at Fast Food Restaurants,300x250,Subscribe Today - 10% Discount,"New York City, New York",bestbuy.com,BidSwitch,Smartphone,18458,111,3623,16934,6,2866.496671
Online Behavior>United States>Travel>Specialty Travel » Adventure Travel,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",biblegateway.com,Google Ad Manager,Smartphone,108559,212,79254,100563,7,6850.576483
Online Behavior>United States>Travel>Tourist Destinations » Zoos-Aquariums-Preserves,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",biblegateway.com,Index Exchange,Smartphone,106151,299,75304,99311,9,6616.88066
Online Behavior>United States>Sports>Sports League » NBA,320x50,10% Discount - Ends 6/1,"Jacksonville, Florida",biblegateway.com,Magnite DV+,Smartphone,149618,260,126031,140596,26,6605.586158
Online Behavior>United States>Finance » Investing>Derivatives,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",biblegateway.com,Index Exchange,Smartphone,114384,100,61524,105104,12,5803.331454
Online Behavior>United States>Law and Government>Public Safety,320x50,Subscribe Today - 10% Discount,"Augusta, Georgia",biblegateway.com,Taboola,Smartphone,43367,111,14306,39750,12,5214.298693
Online Behavior>United States>Jobs and Education>Education,300x250,Sign up Now - 10% Off,"Chicago, Illinois",biblegateway.com,Google Ad Manager,Windows PC,113420,333,33557,104929,11,5124.435934
Online Behavior>United States>Autos and Vehicles » Brands>Ferrari,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",biblegateway.com,Google Ad Manager,Windows PC,88293,255,24101,75557,19,5054.481581
Online Behavior>United States>News>Sports News,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",biblegateway.com,Google Ad Manager,Smartphone,26715,100,12287,25003,6,4623.089672
Telecommunications (Telco),320x50,Sign up Now - 10% Off,"Birmingham, Alabama",biblegateway.com,Google Ad Manager,Smartphone,65380,208,30039,60482,5,2905.884162
"US » B2B » Purchase DM » Technology Services, Hardware and » or Software » I have no input into the final decision",300x250,10% Discount - Ends 6/1,"Los Angeles, California",biblegateway.com,Google Ad Manager,Smartphone,130796,300,109118,122937,6,2196.661232
US » Reach » Propensity Models » Hobbies and Interest » Food and Drinks » Wine Lovers,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",biblegateway.com,Google Ad Manager,Windows PC,64892,214,34731,59369,24,2096.285549
US » Brand Propensities » Travel » Choice Hotels Buyer Propensity,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",biblegateway.com,Magnite DV+,Smartphone,210096,590,90928,184823,4,2027.431388
OnAudience » Interest » Careers,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",biblegateway.com,Google Ad Manager,Smartphone,77313,191,40366,71128,3,1790.390198
US » Brand Propensities » Travel » Hotel Tonight Buyer Propensity,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",biblegateway.com,Magnite DV+,Smartphone,188170,490,155266,176562,6,1599.715069
OnAudience » Interest » Science » Weather Forecast,300x250,Sign up Today - 10% Off,"Los Angeles, California",biblegateway.com,Google Ad Manager,Windows PC,16808,43,9211,13372,3,1574.79128
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Motorsports,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",biblegateway.com,Google Ad Manager,Windows PC,21531,55,15593,18617,6,1470.971925
Mobile - US » Travel » Destination » International Travelers » Frequent Travelers,300x250,Sign up Today - 10% Off,"New York City, New York",biblegateway.com,Smart RTB+ (Smartadserver),Apple PC,18313,60,9481,16300,4,1456.934187
"US Financial » Estimated Discretionary Spending (Financial) » Greater than $2,499",320x50,10% Discount - Ends 6/1,"Nashville, Tennessee",biblestudytools.com,Google Ad Manager,Smartphone,10779,86,6420,10287,3,1759.704833
US » AUTO » Primary Vehicle » New or Used » Pre-owned,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",billboard.com,Google Ad Manager,Smartphone,11325,88,6186,10612,2,1573.25409
Media and Entertainment » Gaming » Interest (Affinity) » Video Games,320x50,Subscribe Today - 10% Discount,"Tallahassee, Florida-Thomasville, Georgia",bleacherbreaker.com,OpenX,Smartphone,9078,21,4051,6215,1,1700.795736
Online Behavior>United States>Games>Card Games,320x50,10% Discount - Ends 6/1,"San Francisco, California",boattrader.com,Google Ad Manager,Smartphone,11511,33,8268,11042,3,6815.712325
Online Behavior>United States>Autos and Vehicles » Brands>Rolls-Royce,320x50,Sign up Today - 10% Off,"Tri-Cities, Tennessee-Virginia",boattrader.com,BidSwitch,Smartphone,14047,44,9934,13377,7,5729.650755
US » Reach » Propensity Models » Hobbies and Interest » Photography,300x250,Sign up Now - 10% Off,"Los Angeles, California",boattrader.com,BidSwitch,Smartphone,20278,74,14227,19480,3,2921.110207
Travel and Tourism » Interest (Affinity) » Destinations » North America,320x50,Sign up Now - 10% Off,"South Bend-Elkhart, Indiana",boattrader.com,Magnite DV+,Smartphone,12354,10,8561,11782,5,1808.307918
"US » Reach » Sociodemographic » Estimated Current Home Value » $160,000-$199,999",300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",boattrader.com,Google Ad Manager,Smartphone,13132,67,6133,12377,4,1807.693142
US »Connected Impulse-Shopper Audience,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",boxrox.com,Smart RTB+ (Smartadserver),Smartphone,35034,145,13904,34123,3,2141.469346
US » Interest Propensities » Activities and Interests » International News,300x50,Subscribe Today - 10% Discount,"Rockford, Illinois",bridesblush.com,Google Ad Manager,Smartphone,9946,20,4818,7382,3,1525.962329
Online Behavior>United States>Intent » Auto Buyers » Car Make>Nissan,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",britannica.com,Google Ad Manager,Smartphone,8068,10,5545,7554,1,5995.041002
Online Behavior>United States>Life Event>Bride,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",businessinsider.com,TripleLift,Smartphone,11919,69,8100,11524,2,6350.916905
Online Behavior>United States>Life Event>Engagement,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",businessinsider.com,Google Ad Manager,Smartphone,35163,250,21222,33671,15,6336.7181
Online Behavior>United States>The Changing Consumer>Internet Connection,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",businessinsider.com,Google Ad Manager,Windows PC,27202,70,5202,23474,11,4253.979116
Lotame » Personal Finance » Estate Planning,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",businessinsider.com,Google Ad Manager,Smartphone,59782,212,28235,57543,13,1455.703554
Online Behavior>United States>Sports>Team Sports » Volleyball,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",buzzfeed.com,Yieldmo,Apple PC,10066,63,6978,9369,19,6879.587097
Mobile - US » Food » Restaurant » Brand » Outback Steakhouse,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",buzzfeed.com,TripleLift,Smartphone,11296,54,6822,9274,4,1682.338499
Online Behavior>United States>Sports>Sporting Goods,320x50,Sign up Now - 10% Off,"Nashville, Tennessee",calculator.net,Google Ad Manager,Smartphone,18633,60,9424,18087,15,6785.063293
Online Behavior>United States>News>Newspapers,320x50,10% Discount - Ends 6/1,"New York City, New York",calculator.net,PubMatic,Smartphone,37176,100,31829,35639,21,6753.595242
Online Behavior>United States>Sports>Winter Sports » Skiing and Snowboarding,320x50,10% Discount - Ends 6/1,"Knoxville, Tennessee",calculator.net,Google Ad Manager,Smartphone,29251,95,25060,28038,8,5994.746834
US » Reach » Propensity Models » Household Consumer Expenditures » Home Office,320x50,Subscribe Today - 10% Discount,"Mobile, Alabama-Pensacola, Florida",calculator.net,Index Exchange,Smartphone,36431,108,31262,35043,11,3285.834522
OnAudience » Intent » Sporting Goods,300x250,Sign up Now - 10% Off,"Chicago, Illinois",calculator.net,PubMatic,Smartphone,22004,80,18735,21127,4,1632.472782
"Online Behavior>United States>Intent » Shopping>Consumer Electronics » Computers, Laptops",320x50,Sign up Today - 10% Off,"Knoxville, Tennessee",cargurus.com,Yahoo Exchange,Smartphone,16644,10,5055,15831,5,6386.464232
Online Behavior>United States>Sports>Fantasy Sports,320x50,Sign up Now - 10% Off,"Tallahassee, Florida-Thomasville, Georgia",cargurus.com,Index Exchange,Smartphone,45285,190,30225,43298,11,4728.012406
US » Interest Propensities » Oil & Gas » QuickTrip,320x50,Subscribe Today - 10% Discount,"Huntsville-Decatur (Florence), Alabama",cargurus.com,Index Exchange,Smartphone,16227,40,9438,15611,3,1991.94384
OnAudience » Interest » Shopping » Shopping Mall Buyers,300x250,Sign up Now - 10% Off,"Memphis, Tennessee",cargurus.com,Sharethrough,Smartphone,7409,10,5009,7160,12,1472.110115
Online Behavior>United States>Law and Government>Military,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",cars.com,Google Ad Manager,Smartphone,17582,56,9848,16558,12,6846.447915
Online Behavior>United States>Travel>Bus and Rail,300x250,Sign up Now - 10% Off,"New York City, New York",cars.com,BidSwitch,Windows PC,45711,130,23052,42375,11,6417.876169
Online Behavior>United States>Validated Demographic » Age>18-64,300x250,10% Discount - Ends 6/1,"Grand Rapids-Kalamazoo, Michigan",cars.com,PubMatic,Windows PC,48562,150,29108,45570,11,6346.633024
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Males 25-44,300x250,Sign up Now - 10% Off,"Nashville, Tennessee",cars.com,Google Ad Manager,Apple PC,47394,184,22712,41918,24,4701.496237
Purchase Behaviors » Q2 Environmentally Concerned Shoppers,320x50,Sign up Now - 10% Off,"Nashville, Tennessee",cars.com,Sovrn,Smartphone,66554,169,39206,62109,6,1890.885935
Travel and Tourism » Interest (Affinity) » Destinations » North America » United States,300x50,Subscribe Today - 10% Discount,"Los Angeles, California",cars.com,Google Ad Manager,Smartphone,9730,45,2971,5102,3,1778.937935
Media and Entertainment » Connected TV and Over-the-Top (CTV and OTT) » Streaming Television and Film Viewership » OTT Movie Viewers » Genre » Crime Movie Streamers,300x250,Sign up Now - 10% Off,"Chicago, Illinois",cars.com,BidSwitch,Windows PC,69757,199,41258,65374,20,1510.61532
US Financial » Likely Attitude and Behavior » Bank Selection » Customer Service Very Important (Financial),300x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",carscoops.com,PubMatic,Smartphone,8862,30,1359,7114,1,1481.945157
Online Behavior>United States>Sports>Individual Sports » Running and Walking,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",cbsnews.com,BidSwitch,Smartphone,7229,20,5668,6760,3,6812.588702
Online Behavior>United States>People and Society>Family and Relationships » Parents,320x50,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce, Florida",cbsnews.com,BidSwitch,Smartphone,115544,412,79182,109463,56,6721.094453
Online Behavior>United States>Travel>Tourist Destinations » Regional Parks and Gardens,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",cbsnews.com,Google Ad Manager,Windows PC,48211,160,30157,43810,14,6708.463351
Online Behavior>United States>Autos and Vehicles » Brands>Mazda,320x50,Subscribe Today - 10% Discount,"New York City, New York",cbsnews.com,TripleLift,Smartphone,134847,450,104268,128470,125,6040.595578
Online Behavior>United States>Travel>Tourist Destinations » Mountain and Ski Resorts,320x50,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce, Florida",cbsnews.com,BidSwitch,Smartphone,35178,155,23374,33779,8,5738.809089
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 45-54,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",cbsnews.com,Google Ad Manager,Smartphone,43117,100,6478,27405,8,4250.430439
US » Reach » Propensity Models » Hobbies and Interest » Sports » Avid Runners,300x250,10% Discount - Ends 6/1,"Lansing, Michigan",cbsnews.com,BidSwitch,Smartphone,510778,1290,70777,436133,6,3870.253867
OnAudience » Interest » Business,300x250,Sign up Today - 10% Off,"San Francisco, California",cbsnews.com,PubMatic,Smartphone,13700,63,3609,12644,4,2032.700147
US » Reach » Propensity Models » Real Estate » Monthly Mortgage Payment » $800-$999,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",cbsnews.com,Index Exchange,Apple PC,13075,74,5980,12114,15,1936.130798
US »Green Consumer Audience,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",cbsnews.com,Smart RTB+ (Smartadserver),Smartphone,69540,204,28713,62829,15,1838.98773
US » Reach » Propensity Models » Household Consumer Expenditures » Lawn and Garden,300x250,Sign up Today - 10% Off,"New York City, New York",cbsnews.com,Google Ad Manager,Windows PC,65983,212,8536,57434,3,1599.076249
US Interest » Home » Home Improvement » Home Improvement Grouping,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",cbsnews.com,Google Ad Manager,Smartphone,21478,50,15548,20651,24,1541.214047
Online Behavior>United States>Real Estate>Apartments and Residential Rentals,320x50,Sign up Now - 10% Off,"New York City, New York",cbssports.com,Google Ad Manager,Smartphone,9515,30,6169,9138,3,5776.508186
US » Reach » Propensity Models » Hobbies and Interest » Food and Drinks » High-end Spirit Drinkers,320x50,Sign up Today - 10% Off,"Chicago, Illinois",cbssports.com,OpenX,Smartphone,20548,40,14259,19654,13,3060.424769
OnAudience » Intent » Sporting Goods » Team Sports,300x250,10% Discount - Ends 6/1,"Charleston, South Carolina",cbssports.com,Magnite DV+,Apple PC,94340,250,16955,76971,13,1517.244377
Online Behavior>United States>Validated Demographic » Age>25-44,300x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",cheapoair.com,PubMatic,Smartphone,114723,350,14623,92063,6,4742.008637
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity),300x250,Sign up Now - 10% Off,"Chicago, Illinois",cheapoair.com,Google Ad Manager,Smartphone,14581,85,6970,8882,4,2636.202124
Online Behavior>United States>Travel>Tourist Destinations » Beaches and Islands,300x50,10% Discount - Ends 6/1,"Chicago, Illinois",cheezburger.com,Google Ad Manager,Smartphone,19461,74,14647,18731,9,7311.99875
Online Behavior>United States>The Changing Consumer>Direct to Consumer,320x50,Sign up Today - 10% Off,"Chicago, Illinois",cheezburger.com,PubMatic,Smartphone,27032,110,21893,26127,5,5292.896913
Online Behavior>United States>Arts and Entertainment>Music and Audio,300x250,Sign up Today - 10% Off,"Jacksonville, Florida",chicagotribune.com,Google Ad Manager,Smartphone,7628,19,5048,7154,5,6684.062804
Online Behavior>United States>Autos and Vehicles » Brands>Volvo,320x50,Subscribe Today - 10% Discount,"New York City, New York",chocolatecoveredkatie.com,Google Ad Manager,Smartphone,7806,20,3150,7247,1,6162.320833
US » B2B » B2B Decision Maker Responsibilities » Company Liability or Insurance,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",citationmachine.net,Google Ad Manager,Windows PC,31443,70,19134,28059,9,2122.765888
US » Reach » Propensity Models » Luxury Home Goods Store Shopper,320x50,Sign up Today - 10% Off,"San Francisco, California",classmates.com,Google Ad Manager,Smartphone,29107,64,4047,27357,9,3339.454322
US » B2B » B2B Decision Maker Responsibilities » Employee Benefits,320x50,Subscribe Today - 10% Discount,"Jacksonville, Florida",classmates.com,Magnite DV+,Smartphone,12451,30,2987,11295,4,2127.323828
US » Brand Propensities » Travel » American Airlines Buyer Propensity,300x250,Subscribe Today - 10% Discount,"New York City, New York",classmates.com,PulsePoint,Apple PC,12176,10,5460,11154,10,1816.030806
OnAudience,300x250,Sign up Today - 10% Off,"San Francisco, California",clutchpoints.com,Google Ad Manager,Smartphone,7472,10,1191,5883,1,2183.952037
Media and Entertainment » Audio and Video Streaming » Streaming Audio,300x250,Sign up Now - 10% Off,"Chicago, Illinois",cnbc.com,Google Ad Manager,Smartphone,42451,122,29142,41093,7,1530.553686
US »Rural Improvement Fanatic,320x50,Subscribe Today - 10% Discount,"New York City, New York",cnbc.com,Index Exchange,Smartphone,10677,88,7247,10338,3,1483.452706
Online Behavior>United States>Sports>Sports League » Premier League,300x250,Sign up Today - 10% Off,"Chicago, Illinois",cnet.com,BidSwitch,Smartphone,8217,25,5740,8009,11,6051.334623
Online Behavior>United States>The Changing Consumer>Gaming Equipment,320x50,Sign up Today - 10% Off,"Chattanooga, Tennessee",cnet.com,TripleLift,Smartphone,7530,20,5468,7298,3,5038.714067
Online Behavior>United States>Travel>Travel,320x50,Subscribe Today - 10% Discount,"New York City, New York",cnn.com,Google Ad Manager,Smartphone,272509,736,89526,237859,69,8168.347077
Online Behavior>United States>Beauty and Fitness>Face and Body Care » Unwanted Body and Facial Hair Removal,300x250,Subscribe Today - 10% Discount,"New York City, New York",cnn.com,Google Ad Manager,Smartphone,106392,299,39599,94941,3,6542.612428
Online Behavior>United States>Intent » Auto Buyers » Car Make>Toyota,320x50,Sign up Now - 10% Off,"Los Angeles, California",cnn.com,PubMatic,Smartphone,9060,30,5190,8621,14,4934.851563
Online Behavior>United States>Food and Drink>Restaurants » Dining Guides,320x50,Sign up Now - 10% Off,"Chicago, Illinois",cnn.com,Index Exchange,Smartphone,116926,321,69132,111957,22,4918.040982
Media and Entertainment » Music,300x250,10% Discount - Ends 6/1,"New York City, New York",cnn.com,Yahoo Exchange,Smartphone,45402,122,17284,27542,5,2163.265346
OnAudience » Interest » Technology,300x50,Sign up Now - 10% Off,"Chicago, Illinois",cnn.com,Google Ad Manager,Smartphone,84306,185,45376,79935,3,1809.590961
US » Interest Propensities » Social » Premium User Generated Content,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",cnn.com,Google Ad Manager,Smartphone,88499,186,18950,71458,5,1803.139812
OnAudience » Interest » Business » Economy,300x250,Subscribe Today - 10% Discount,"South Bend-Elkhart, Indiana",cnn.com,Google Ad Manager,Smartphone,77748,227,6170,53603,3,1498.3009
